"","pg","pl",""
"chr01p",0.075,0.735,0.19
"chr01q",0.285,0.665,0.05
"chr02p",0.085,0.865,0.05
"chr02q",0.1025,0.8475,0.05
"chr03p",0.0499999999999999,0.9,0.0500000000000002
"chr03q",0.095,0.855,0.05
"chr04p",0.0499999999999999,0.9,0.0500000000000002
"chr04q",0.085,0.635,0.28
"chr05p",0.215,0.735,0.05
"chr05q",0.0499999999999999,0.9,0.0500000000000002
"chr06p",0.095,0.855,0.05
"chr06q",0.065,0.885,0.05
"chr07p",0.205,0.745,0.05
"chr07q",0.095,0.855,0.05
"chr08p",0.0675,0.8825,0.0499999999999999
"chr08q",0.215,0.735,0.05
"chr09p",0.0499999999999999,0.9,0.0500000000000002
"chr09q",0.0499999999999999,0.9,0.0500000000000002
"chr10p",0.0574999999999999,0.8925,0.0500000000000002
"chr10q",0.055,0.895,0.05
"chr11p",0.0725,0.8775,0.05
"chr11q",0.08,0.87,0.05
"chr12p",0.1125,0.8375,0.05
"chr12q",0.075,0.875,0.05
"chr13p",0.0499999999999999,0.9,0.0500000000000002
"chr13q",0.0524999999999999,0.8975,0.05
"chr14p",0.0499999999999999,0.9,0.0500000000000002
"chr14q",0.155,0.07,0.775
"chr15p",0.0499999999999999,0.9,0.0500000000000002
"chr15q",0.0499999999999999,0.9,0.0500000000000002
"chr16p",0.0499999999999999,0.9,0.0500000000000002
"chr16q",0.065,0.885,0.05
"chr17p",0.0499999999999999,0.9,0.0500000000000002
"chr17q",0.075,0.875,0.05
"chr18p",0.08,0.87,0.05
"chr18q",0.0625,0.8875,0.05
"chr19p",0.0499999999999999,0.9,0.0500000000000002
"chr19q",0.07,0.83,0.1
"chr20p",0.18,0.77,0.05
"chr20q",0.225,0.725,0.05
"chr21p",0.0499999999999999,0.9,0.0500000000000002
"chr21q",0.0499999999999999,0.9,0.0500000000000002
"chr22p",0.0499999999999999,0.9,0.0500000000000002
"chr22q",0.0499999999999999,0.9,0.0500000000000002
